Branch,RetailOrderSIC,Source,ShippingInstCode,AddressType,DeliveryType,AddressToUse
305,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PA,PurchaseOrder,(none),(none),(none),SorMaster
305,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
305,PP,PurchaseOrder,(none),(none),(none),InvWhControl
305,PU-ST,CL-MN,PP,Store,Standard,SalBranch
305,PU-ST,MN,SC,Store,Standard,SalBranch
305,PU-ST,MV,SC,Store,Standard,SalBranch
305,PU-ST,PEL2,SC,Store,Standard,SalBranch
305,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
305,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
305,PU-WH,MN,SC,3PL,Standard,InvWhControl
305,PU-WH,MV,SC,3PL,Standard,InvWhControl
305,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
305,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
306,D,CL-MN,PP,3PL,Standard,InvWhControl
306,D,MN,SC,3PL,Standard,InvWhControl
306,D,MV,SC,3PL,Standard,InvWhControl
306,D,PEL2,SC,3PL,Standard,InvWhControl
306,D,PurchaseOrder,(none),(none),(none),InvWhControl
306,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PA,PurchaseOrder,(none),(none),(none),InvWhControl
306,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
306,PP,PurchaseOrder,(none),(none),(none),InvWhControl
306,PU-ST,CL-MN,PP,Store,Standard,SalBranch
306,PU-ST,MN,SC,Store,Standard,SalBranch
306,PU-ST,MV,SC,Store,Standard,SalBranch
306,PU-ST,PEL2,SC,Store,Standard,SalBranch
306,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
306,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
306,PU-WH,MN,SC,3PL,Standard,InvWhControl
306,PU-WH,MV,SC,3PL,Standard,InvWhControl
306,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
306,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
308,D,CL-MN,PP,Store,Standard,InvWhControl
308,D,MN,SC,Store,Standard,InvWhControl
308,D,MV,SC,Store,Standard,InvWhControl
308,D,PEL2,SC,Store,Standard,InvWhControl
308,D,PurchaseOrder,(none),(none),(none),InvWhControl
308,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PA,PurchaseOrder,(none),(none),(none),InvWhControl
308,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
308,PP,PurchaseOrder,(none),(none),(none),InvWhControl
308,PU-ST,CL-MN,PP,Store,Standard,SalBranch
308,PU-ST,MN,SC,Store,Standard,SalBranch
308,PU-ST,MV,SC,Store,Standard,SalBranch
308,PU-ST,PEL2,SC,Store,Standard,SalBranch
308,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
308,PU-WH,CL-MN,PP,Store,Standard,InvWhControl
308,PU-WH,MN,SC,Store,Standard,InvWhControl
308,PU-WH,MV,SC,Store,Standard,InvWhControl
308,PU-WH,PEL2,SC,Store,Standard,InvWhControl
308,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
310,D,CL-MN,PP,3PL,Standard,InvWhControl
310,D,MN,SC,3PL,Standard,InvWhControl
310,D,MV,SC,3PL,Standard,InvWhControl
310,D,PEL2,SC,3PL,Standard,InvWhControl
310,D,PurchaseOrder,(none),(none),(none),InvWhControl
310,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PA,PurchaseOrder,(none),(none),(none),InvWhControl
310,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
310,PP,PurchaseOrder,(none),(none),(none),InvWhControl
310,PU-ST,CL-MN,PP,Store,Standard,SalBranch
310,PU-ST,MN,SC,Store,Standard,SalBranch
310,PU-ST,MV,SC,Store,Standard,SalBranch
310,PU-ST,PEL2,SC,Store,Standard,SalBranch
310,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
310,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
310,PU-WH,MN,SC,3PL,Standard,InvWhControl
310,PU-WH,MV,SC,3PL,Standard,InvWhControl
310,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
310,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
311,D,CL-MN,PP,3PL,Standard,InvWhControl
311,D,MN,SC,3PL,Standard,InvWhControl
311,D,MV,SC,3PL,Standard,InvWhControl
311,D,PEL2,SC,3PL,Standard,InvWhControl
311,D,PurchaseOrder,(none),(none),(none),InvWhControl
311,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PA,PurchaseOrder,(none),(none),(none),InvWhControl
311,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
311,PP,PurchaseOrder,(none),(none),(none),InvWhControl
311,PU-ST,CL-MN,PP,Store,Standard,SalBranch
311,PU-ST,MN,SC,Store,Standard,SalBranch
311,PU-ST,MV,SC,Store,Standard,SalBranch
311,PU-ST,PEL2,SC,Store,Standard,SalBranch
311,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
311,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
311,PU-WH,MN,SC,3PL,Standard,InvWhControl
311,PU-WH,MV,SC,3PL,Standard,InvWhControl
311,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
311,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
312,D,CL-MN,PP,3PL,Standard,InvWhControl
312,D,MN,SC,3PL,Standard,InvWhControl
312,D,MV,SC,3PL,Standard,InvWhControl
312,D,PEL2,SC,3PL,Standard,InvWhControl
312,D,PurchaseOrder,(none),(none),(none),InvWhControl
312,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PA,PurchaseOrder,(none),(none),(none),InvWhControl
312,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
312,PP,PurchaseOrder,(none),(none),(none),InvWhControl
312,PU-ST,CL-MN,PP,Store,Standard,SalBranch
312,PU-ST,MN,SC,Store,Standard,SalBranch
312,PU-ST,MV,SC,Store,Standard,SalBranch
312,PU-ST,PEL2,SC,Store,Standard,SalBranch
312,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
312,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
312,PU-WH,MN,SC,3PL,Standard,InvWhControl
312,PU-WH,MV,SC,3PL,Standard,InvWhControl
312,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
312,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
313,D,CL-MN,PP,3PL,Standard,InvWhControl
313,D,MN,SC,3PL,Standard,InvWhControl
313,D,MV,SC,3PL,Standard,InvWhControl
313,D,PEL2,SC,3PL,Standard,InvWhControl
313,D,PurchaseOrder,(none),(none),(none),InvWhControl
313,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PA,PurchaseOrder,(none),(none),(none),InvWhControl
313,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
313,PP,PurchaseOrder,(none),(none),(none),InvWhControl
313,PU-ST,CL-MN,PP,Store,Standard,SalBranch
313,PU-ST,MN,SC,Store,Standard,SalBranch
313,PU-ST,MV,SC,Store,Standard,SalBranch
313,PU-ST,PEL2,SC,Store,Standard,SalBranch
313,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
313,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
313,PU-WH,MN,SC,3PL,Standard,InvWhControl
313,PU-WH,MV,SC,3PL,Standard,InvWhControl
313,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
313,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
314,D,CL-MN,PP,3PL,Standard,InvWhControl
314,D,MN,SC,3PL,Standard,InvWhControl
314,D,MV,SC,3PL,Standard,InvWhControl
314,D,PEL2,SC,3PL,Standard,InvWhControl
314,D,PurchaseOrder,(none),(none),(none),InvWhControl
314,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PA,PurchaseOrder,(none),(none),(none),InvWhControl
314,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
314,PP,PurchaseOrder,(none),(none),(none),InvWhControl
314,PU-ST,CL-MN,PP,Store,Standard,SalBranch
314,PU-ST,MN,SC,Store,Standard,SalBranch
314,PU-ST,MV,SC,Store,Standard,SalBranch
314,PU-ST,PEL2,SC,Store,Standard,SalBranch
314,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
314,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
314,PU-WH,MN,SC,3PL,Standard,InvWhControl
314,PU-WH,MV,SC,3PL,Standard,InvWhControl
314,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
314,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
315,D,CL-MN,PP,3PL,Standard,InvWhControl
315,D,MN,SC,3PL,Standard,InvWhControl
315,D,MV,SC,3PL,Standard,InvWhControl
315,D,PEL2,SC,3PL,Standard,InvWhControl
315,D,PurchaseOrder,(none),(none),(none),InvWhControl
315,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PA,PurchaseOrder,(none),(none),(none),InvWhControl
315,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
315,PP,PurchaseOrder,(none),(none),(none),InvWhControl
315,PU-ST,CL-MN,PP,Store,Standard,SalBranch
315,PU-ST,MN,SC,Store,Standard,SalBranch
315,PU-ST,MV,SC,Store,Standard,SalBranch
315,PU-ST,PEL2,SC,Store,Standard,SalBranch
315,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
315,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
315,PU-WH,MN,SC,3PL,Standard,InvWhControl
315,PU-WH,MV,SC,3PL,Standard,InvWhControl
315,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
315,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
316,D,CL-MN,PP,3PL,Standard,InvWhControl
316,D,MN,SC,3PL,Standard,InvWhControl
316,D,MV,SC,3PL,Standard,InvWhControl
316,D,PEL2,SC,3PL,Standard,InvWhControl
316,D,PurchaseOrder,(none),(none),(none),InvWhControl
316,PA,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PA,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PA,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PA,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PA,PurchaseOrder,(none),(none),(none),InvWhControl
316,PP,CL-MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PP,MN,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PP,MV,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PP,PEL2,PP,SalesOrderValue,SalesOrderValue,SorMaster
316,PP,PurchaseOrder,(none),(none),(none),InvWhControl
316,PU-ST,CL-MN,PP,Store,Standard,SalBranch
316,PU-ST,MN,SC,Store,Standard,SalBranch
316,PU-ST,MV,SC,Store,Standard,SalBranch
316,PU-ST,PEL2,SC,Store,Standard,SalBranch
316,PU-ST,PurchaseOrder,(none),(none),(none),InvWhControl
316,PU-WH,CL-MN,PP,3PL,Standard,InvWhControl
316,PU-WH,MN,SC,3PL,Standard,InvWhControl
316,PU-WH,MV,SC,3PL,Standard,InvWhControl
316,PU-WH,PEL2,SC,3PL,Standard,InvWhControl
316,PU-WH,PurchaseOrder,(none),(none),(none),InvWhControl
